Stratum,Penetration,Altitude,SpeciesCode,North,East
14028806,200,195,gobcot,5571600,2211500
13045677,117,613,galpro,5743083,2336444
12042022,9,44,nospec,5769572,2287918
3015543,101,18,galfas,6388752,2697607
3013781,114,61,nospec,6398753,2719639
7041203,53,10,mugcep,6083315,2721036
6010502,2,15,angdie,6194100,2584700
0,1,11,angaus,6491300,2748800
13511005,144,475,angdie,5659600,2277700
13002550,224,1030,gobalp,5897600,2506000
4002967,11,40,gobhut,6372700,2932900
13511111,148,520,galmar,5660930,2273670
3034618,12,140,angaus,6306800,2658400
12033975,17,100,angdie,5826100,2354400
14059275,67,690,galpul,5484965,2258010
3014572,92,11,angdie,6394005,2700967
12026392,180,560,parcur,5869395,2453315
14028492,21,58,galvul,5567309,2335844
7045975,10,20,galarg,6063942,2702767
NA,NA,NA,nospec,6549187,2606714
12015674,4,157,gobbre,5916742,2380828
13518638,125,362,gobcot,5647500,2288800
14009359,298,927,galspd,5619515,2223029
14030148,15,68,galmac,5563270,2339000
10005142,0,0,chefos,6023100,2510300
3014630,66,15,parcur,6393300,2734500
13011701,0,5,galmac,5856700,2552600
3010550,31,8,gobgob,6416593,2733068
15061956,2,3,gobcot,5397512,2172623
12036969,4,20,gobcot,5806700,2328500
3006005,15,3,gobcot,6437800,2742700
9009997,1,40,gobhut,6007255,2669291
15052467,21,177,saltru,5439940,2106691
3002930,0,23,galmac,6463869,2764263
10000613,4,5,galmac,6057900,2461500
8027494,41,20,gobcot,6153800,2829400
15051163,72,200,parane,5443600,2170100
12033728,11,30,angdie,5826600,2350400
NA,NA,NA,gobbre,5745871,2456305
13049550,101,677,gobcot,5730650,2355625
14009457,298,889,galspd,5619403,2222980
0,3,25,parcur,6674900,2527500
7012242,179,740,saltru,6218046,2717279
8022903,32,81,gobbas,6186805,2827691
15019805,137,359,galgol,5522778,2109200
8019055,1,2,parcur,6210000,2856800
8008669,31,280,gobcot,6245600,2926400
1008041,5,4,angaus,6655486,2570356
14028042,208,379,gobbre,5568622,2237874
12030280,47,85,caraur,5844900,2385100
